from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
99,100,Chartered Financial Analyst,2013,2015,2,1,1,2,Charlottesville-USA,,,,,,,,,,,,,,,,,
99,101,Controller,2009,2010,1,1,1,1,Heidenheim,,,,,,,,,,,,,,,,,
99,64,Senior Associate,2011,2013,2,1,1,1,"Stuttgart,Frankfurt",,,,,,,,,,,,,,,,,
99,102,Board Member,2022,2023,2,1,1,1,Heidenheim,,,,,,,,,,,,,,,,,
99,83,Investment Advisory Professional ,2014,2025,11,2,1,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
103,104,Betriebswirtschaftslehre,1991,1996,5,1,1,2,Dresden,,,,,,,,,,,,,,,,,
103,105,Program for Executive Development,2001,2001,1,1,1,2,Lausanne-SUI,,,,,,,,,,,,,,,,,
103,106,Senior Consultant,1996,1999,3,1,1,1,München,,,,,,,,,,,,,,,,,
103,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
103,107,Senior Associate,1999,2002,3,1,1,1,München,,,,,,,,,,,,,,,,,
103,108,Partner,2002,2012,10,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
103,109,Board Member,2008,2013,5,1,1,1,Regensburg,,,,,,,,,,,,,,,,,
103,110,Advisor,2013,2014,1,1,1,1,Haag-SUI,,,,,,,,,,,,,,,,,
103,103,Senior Advisor,2015,2023,8,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
103,111,"Aufsichtsrat, Committee Member",2015,2023,8,1,1,1,Jena,,,,,,,,,,,,,,,,,
103,112,Aufsichtsrat,2017,2023,6,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
103,113,Aufsichtsrat,2018,2023,5,1,1,1,NA,,,,,,,,,,,,,,,,,
103,114,Aufsichtsrat,2020,2023,3,1,1,1,Essen,,,,,,,,,,,,,,,,,
103,115,Geschäftsführerin ,2023,2024,1,1,1,1,Schindellegi-SUI,,,,,,,,,,,,,,,,,
116,117,Ausbildung,2000,2002,2,1,1,1,Ingolstadt,,,,,,,,,,,,,,,,,
116,118,NA,2007,2008,1,1,1,2,Frankfurt am Main,,,,,,,,,,,,,,,,,
116,91,Trainee,2008,2009,1,1,1,1,NA,,,,,,,,,,,,,,,,,
116,117,Logistikfachkraft,2002,2007,5,1,1,1,Ingolstadt,,,,,,,,,,,,,,,,,
116,65,Aufsichtsrat,2024,2025,1,1,1,1,Augsburg,,,,,,,,,,,,,,,,,
116,91,Bildungsreferentin,2009,2015,6,1,1,1,Beverungen,,,,,,,,,,,,,,,,,
116,91,Gewerkschaftsreferentin,2015,2017,2,1,1,1,NA,,,,,,,,,,,,,,,,,
116,91,Leitung,2017,2024,7,1,1,1,Beverungen,,,,,,,,,,,,,,,,,
116,91,"Zweiter Bevollmächtigter, Geschäftsführer",2024,2025,1,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
119,120,Produktionstechnik,2001,2004,3,1,1,2,NA,,,,,,,,,,,,,,,,,
